station_name,lon,lat
博多,130.420622,33.590002
博多南,130.436997,33.517955
下関,130.923038,33.950306
門司港,130.961549,33.945138
小森江,130.938674,33.916352
門司,130.933438,33.904309
小倉,130.882678,33.886756
西小倉,130.873897,33.888673
九州工大前,130.840068,33.900396
戸畑,130.820692,33.897018
枝光,130.813318,33.879367
スペースワールド,130.806197,33.871246
八幡,130.795209,33.868913
黒崎,130.766206,33.866807
陣原,130.742656,33.868242
折尾,130.713109,33.863629
水巻,130.694624,33.852287
遠賀川,130.673485,33.846684
海老津,130.62307,33.840248
教育大前,130.590256,33.808215
赤間,130.569477,33.808237
東郷,130.528822,33.794488
東福間,130.511111,33.774118
福間,130.486088,33.763316
千鳥,130.47632,33.749129
古賀,130.466898,33.732586
ししぶ,130.459042,33.722223
新宮中央,130.449163,33.711659
福工大前,130.440536,33.698813
九産大前,130.441184,33.673743
香椎,130.444063,33.659228
千早,130.440486,33.649116
箱崎,130.426549,33.618063
吉塚,130.423674,33.607142
博多,130.420622,33.590002
博多,130.420622,33.590002
竹下,130.431625,33.568688
笹原,130.448396,33.553612
南福岡,130.460447,33.542092
春日,130.469308,33.534701
大野城,130.480063,33.524944
水城,130.49022,33.51779
都府楼南,130.506625,33.503153
二日市,130.518843,33.494515
天拝山,130.53024,33.481847
原田,130.539376,33.451769
けやき台,130.533392,33.434537
基山,130.532365,33.420945
弥生が丘,130.528514,33.401944
田代,130.524496,33.384007
鳥栖,130.519374,33.373864
肥前旭,130.495981,33.350237
久留米,130.501408,33.319778
荒木,130.50268,33.277149
西牟田,130.500981,33.246243
羽犬塚,130.49761,33.209822
筑後船小屋,130.4916036,33.17802333
瀬高,130.485181,33.157
南瀬高,130.471188,33.133699
渡瀬,130.460094,33.099622
吉野,130.466459,33.075599
銀水,130.460944,33.054932
大牟田,130.443784,33.029754
荒尾,130.434717,32.994682
南荒尾,130.433012,32.966029
長洲,130.455652,32.935205
大野下,130.502038,32.921737
玉名,130.548494,32.926021
肥後伊倉,130.586803,32.913233
木葉,130.626441,32.916528
田原坂,130.653197,32.899416
植木,130.680834,32.880226
西里,130.700139,32.854607
崇城大学前,130.694895,32.83102
上熊本,130.698831,32.817305
熊本,130.688499,32.789207
西熊本,130.683056,32.762639
川尻,130.679907,32.743772
富合,130.672808,32.713658
宇土,130.669148,32.694237
松橋,130.670588,32.652324
小川,130.694339,32.600979
有佐,130.670049,32.562711
千丁,130.64556,32.532387
新八代,130.634919,32.517888
